Airline|Date_of_Journey|Source|Destination|Route|Dep_Time|Arrival_Time|Duration|Total_Stops|Additional_Info|Price|Month|Date|Day_of_week
SPICEJET|2019-04-15|NEW DELHI|COCHIN|DEL ? PNQ ? COK|8|13:15|270|1 STOP|NO INFO|5830|4|15|0
JET AIRWAYS|2019-12-06|NEW DELHI|COCHIN|DEL ? BOM ? COK|14|12:35|1355|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10262|12|6|4
AIR INDIA|2019-12-06|NEW DELHI|COCHIN|DEL ? CCU ? BOM ? COK|20|19:15|1380|2 STOPS|NO INFO|13381|12|6|4
JET AIRWAYS|2019-05-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|16|12:35|1235|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|12898|5|27|0
GOAIR|2019-06-03|NEW DELHI|COCHIN|DEL ? BOM ? COK|14|19:20|310|1 STOP|NO INFO|19495|6|3|0
AIR INDIA|2019-03-21|BANGLORE|NEW DELHI|BLR ? COK ? DEL|22|13:20|920|1 STOP|NO INFO|6955|3|21|3
INDIGO|2019-03-04|BANGLORE|NEW DELHI|BLR ? DEL|4|06:50|170|NON-STOP|NO INFO|3943|3|4|0
INDIGO|2019-01-05|BANGLORE|NEW DELHI|BLR ? DEL|18|21:50|175|NON-STOP|NO INFO|4823|1|5|5
JET AIRWAYS|2019-06-05|KOLKATA|BANGLORE|CCU ? BOM ? BLR|18|08:15|800|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|7757|6|5|2
JET AIRWAYS|2019-09-06|NEW DELHI|COCHIN|DEL ? IDR ? BOM ? COK|21|12:35|910|2 STOPS|NO INFO|13292|9|6|4
INDIGO|2019-01-06|NEW DELHI|COCHIN|DEL ? LKO ? COK|21|03:35|345|1 STOP|NO INFO|8238|1|6|6
GOAIR|2019-05-15|NEW DELHI|COCHIN|DEL ? BOM ? COK|7|12:55|355|1 STOP|NO INFO|7682|5|15|2
VISTARA|2019-06-18|BANGLORE|NEW DELHI|BLR ? DEL|9|12:35|170|NON-STOP|NO INFO|4668|6|18|1
VISTARA|2019-06-15|CHENNAI|KOLKATA|MAA ? CCU|7|09:20|135|NON-STOP|NO INFO|3687|6|15|5
VISTARA|2019-06-18|CHENNAI|KOLKATA|MAA ? CCU|7|09:20|135|NON-STOP|NO INFO|3687|6|18|1
AIR INDIA|2019-01-05|KOLKATA|BANGLORE|CCU ? GAU ? DEL ? BLR|9|23:15|805|2 STOPS|NO INFO|13227|1|5|5
INDIGO|2019-06-04|BANGLORE|NEW DELHI|BLR ? DEL|4|06:50|170|NON-STOP|NO INFO|4423|6|4|1
JET AIRWAYS|2019-06-15|NEW DELHI|COCHIN|DEL ? NAG ? BOM ? COK|14|12:35|1320|2 STOPS|IN-FLIGHT MEAL NOT INCLUDED|10919|6|15|5
JET AIRWAYS|2019-05-18|NEW DELHI|COCHIN|DEL ? BOM ? COK|7|12:35|330|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|12373|5|18|5
INDIGO|2019-06-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|10|21:00|625|1 STOP|NO INFO|5894|6|27|3
SPICEJET|2019-05-21|KOLKATA|BANGLORE|CCU ? MAA ? BLR|15|20:20|315|1 STOP|NO INFO|4649|5|21|1
AIR INDIA|2019-05-18|KOLKATA|BANGLORE|CCU ? BLR|14|16:45|150|NON-STOP|NO INFO|6245|5|18|5
JET AIRWAYS|2019-06-03|BANGLORE|NEW DELHI|BLR ? BOM ? DEL|7|13:15|375|1 STOP|NO INFO|19225|6|3|0
JET AIRWAYS|2019-03-06|NEW DELHI|COCHIN|DEL ? BOM ? COK|7|19:00|715|1 STOP|NO INFO|14924|3|6|2
MULTIPLE CARRIERS|2019-05-21|NEW DELHI|COCHIN|DEL ? HYD ? COK|7|18:10|665|1 STOP|NO INFO|9646|5|21|1
AIR INDIA|2019-03-15|BANGLORE|NEW DELHI|BLR ? BOM ? DEL|6|15:15|510|1 STOP|NO INFO|8714|3|15|4
JET AIRWAYS|2019-05-18|NEW DELHI|COCHIN|DEL ? BOM ? COK|20|19:00|1325|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|12373|5|18|5
AIR ASIA|2019-06-05|BANGLORE|NEW DELHI|BLR ? DEL|11|13:55|165|NON-STOP|NO INFO|3383|6|5|2
MULTIPLE CARRIERS|2019-03-21|NEW DELHI|COCHIN|DEL ? BOM ? COK|9|21:00|720|1 STOP|NO INFO|13062|3|21|3
SPICEJET|2019-03-24|BANGLORE|NEW DELHI|BLR ? DEL|5|08:35|170|NON-STOP|NO CHECK-IN BAGGAGE INCLUDED|3527|3|24|6
INDIGO|2019-05-27|BANGLORE|NEW DELHI|BLR ? DEL|4|06:50|170|NON-STOP|NO INFO|3943|5|27|0
AIR INDIA|2019-03-05|CHENNAI|KOLKATA|MAA ? CCU|11|13:55|135|NON-STOP|NO INFO|4667|3|5|1
AIR INDIA|2019-05-15|KOLKATA|BANGLORE|CCU ? HYD ? BLR|19|11:05|965|1 STOP|NO INFO|6117|5|15|2
JET AIRWAYS|2019-06-27|NEW DELHI|COCHIN|DEL ? AMD ? BOM ? COK|23|19:00|1195|2 STOPS|IN-FLIGHT MEAL NOT INCLUDED|11150|6|27|3
JET AIRWAYS|2019-09-03|NEW DELHI|COCHIN|DEL ? COK|11|14:15|195|NON-STOP|IN-FLIGHT MEAL NOT INCLUDED|7202|9|3|1
JET AIRWAYS|2019-01-05|KOLKATA|BANGLORE|CCU ? DEL ? BLR|9|10:55|1520|1 STOP|NO INFO|12121|1|5|5
INDIGO|2019-03-24|BANGLORE|NEW DELHI|BLR ? DEL|22|01:10|170|NON-STOP|NO INFO|4377|3|24|6
INDIGO|2019-06-18|BANGLORE|NEW DELHI|BLR ? DEL|21|00:15|180|NON-STOP|NO INFO|3943|6|18|1
AIR ASIA|2019-03-04|BANGLORE|NEW DELHI|BLR ? DEL|23|02:45|170|NON-STOP|NO INFO|4483|3|4|0
JET AIRWAYS|2019-03-24|KOLKATA|BANGLORE|CCU ? BOM ? BLR|19|12:00|975|1 STOP|NO INFO|14231|3|24|6
AIR INDIA|2019-01-03|BANGLORE|NEW DELHI|BLR ? BOM ? AMD ? DEL|8|23:55|905|2 STOPS|NO INFO|17345|1|3|3
VISTARA|2019-06-03|CHENNAI|KOLKATA|MAA ? CCU|7|09:20|135|NON-STOP|NO INFO|7414|6|3|0
MULTIPLE CARRIERS|2019-06-05|NEW DELHI|COCHIN|DEL ? BOM ? COK|19|01:30|390|1 STOP|NO INFO|8073|6|5|2
VISTARA|2019-06-03|MUMBAI|HYDERABAD|BOM ? DEL ? HYD|15|16:45|1505|1 STOP|NO INFO|12395|6|3|0
AIR INDIA|2019-06-06|KOLKATA|BANGLORE|CCU ? BOM ? BLR|9|21:50|745|1 STOP|NO INFO|8366|6|6|3
AIR INDIA|2019-03-04|NEW DELHI|COCHIN|DEL ? MAA ? COK|6|09:25|1640|1 STOP|NO INFO|5117|3|4|0
MULTIPLE CARRIERS|2019-03-06|NEW DELHI|COCHIN|DEL ? BOM ? COK|8|19:00|615|1 STOP|NO INFO|12524|3|6|2
INDIGO|2019-05-15|NEW DELHI|COCHIN|DEL ? BOM ? COK|15|01:30|630|1 STOP|NO INFO|7191|5|15|2
VISTARA|2019-05-24|CHENNAI|KOLKATA|MAA ? CCU|7|09:20|135|NON-STOP|NO INFO|3687|5|24|4
INDIGO|2019-06-24|NEW DELHI|COCHIN|DEL ? BOM ? COK|10|21:00|625|1 STOP|NO INFO|5894|6|24|0
VISTARA|2019-04-24|BANGLORE|NEW DELHI|BLR ? DEL|9|12:35|170|NON-STOP|NO INFO|5403|4|24|2
AIR INDIA|2019-06-05|MUMBAI|HYDERABAD|BOM ? HYD|13|15:25|90|NON-STOP|NO INFO|3625|6|5|2
AIR INDIA|2019-05-21|NEW DELHI|COCHIN|DEL ? BHO ? BOM ? COK|5|19:15|800|2 STOPS|NO INFO|10861|5|21|1
INDIGO|2019-12-03|CHENNAI|KOLKATA|MAA ? CCU|13|15:35|135|NON-STOP|NO INFO|6297|12|3|1
JET AIRWAYS|2019-01-06|MUMBAI|HYDERABAD|BOM ? HYD|7|08:30|85|NON-STOP|NO INFO|5678|1|6|6
JET AIRWAYS|2019-09-03|BANGLORE|NEW DELHI|BLR ? BOM ? DEL|5|08:15|1590|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|9134|9|3|1
MULTIPLE CARRIERS|2019-06-24|NEW DELHI|COCHIN|DEL ? BOM ? COK|11|19:00|440|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10791|6|24|0
JET AIRWAYS|2019-06-24|NEW DELHI|COCHIN|DEL ? AMD ? BOM ? COK|23|12:35|810|2 STOPS|NO INFO|12819|6|24|0
INDIGO|2019-03-21|NEW DELHI|COCHIN|DEL ? BLR ? COK|5|10:05|300|1 STOP|NO INFO|6893|3|21|3
VISTARA|2019-09-03|BANGLORE|NEW DELHI|BLR ? DEL|9|12:35|165|NON-STOP|NO INFO|7240|9|3|1
GOAIR|2019-03-04|BANGLORE|NEW DELHI|BLR ? DEL|11|14:30|170|NON-STOP|NO INFO|3898|3|4|0
INDIGO|2019-03-04|MUMBAI|HYDERABAD|BOM ? HYD|6|07:55|90|NON-STOP|NO INFO|4049|3|4|0
JET AIRWAYS|2019-06-15|NEW DELHI|COCHIN|DEL ? BOM ? COK|17|12:35|1145|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10262|6|15|5
SPICEJET|2019-03-21|CHENNAI|KOLKATA|MAA ? CCU|8|10:35|135|NON-STOP|NO CHECK-IN BAGGAGE INCLUDED|3332|3|21|3
JET AIRWAYS|2019-09-06|KOLKATA|BANGLORE|CCU ? BOM ? BLR|21|12:00|890|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10844|9|6|4
JET AIRWAYS|2019-03-24|BANGLORE|NEW DELHI|BLR ? DEL|19|22:35|160|NON-STOP|NO INFO|7229|3|24|6
JET AIRWAYS|2019-06-05|KOLKATA|BANGLORE|CCU ? BOM ? BLR|6|04:40|1330|1 STOP|NO INFO|13941|6|5|2
INDIGO|2019-06-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|11|21:00|575|1 STOP|NO INFO|5894|6|27|3
MULTIPLE CARRIERS|2019-05-18|NEW DELHI|COCHIN|DEL ? BOM ? COK|9|19:00|600|1 STOP|NO INFO|10197|5|18|5
JET AIRWAYS|2019-06-03|BANGLORE|NEW DELHI|BLR ? BOM ? DEL|14|11:25|1280|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|13712|6|3|0
INDIGO|2019-06-24|NEW DELHI|COCHIN|DEL ? MAA ? COK|2|07:25|325|1 STOP|NO INFO|5636|6|24|0
JET AIRWAYS|2019-06-06|NEW DELHI|COCHIN|DEL ? JAI ? BOM ? COK|9|04:25|1125|2 STOPS|NO INFO|13014|6|6|3
JET AIRWAYS|2019-01-04|KOLKATA|BANGLORE|CCU ? BOM ? BLR|8|20:45|740|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|7064|1|4|4
JET AIRWAYS|2019-05-24|KOLKATA|BANGLORE|CCU ? DEL ? BLR|20|14:25|1080|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10703|5|24|4
MULTIPLE CARRIERS|2019-05-27|NEW DELHI|COCHIN|DEL ? HYD ? COK|13|22:30|555|1 STOP|NO INFO|9646|5|27|0
MULTIPLE CARRIERS|2019-06-03|NEW DELHI|COCHIN|DEL ? BOM ? COK|2|13:20|665|1 STOP|NO INFO|17057|6|3|0
JET AIRWAYS|2019-12-03|BANGLORE|NEW DELHI|BLR ? BOM ? DEL|16|10:25|1050|1 STOP|NO INFO|13817|12|3|1
AIR INDIA|2019-06-03|NEW DELHI|COCHIN|DEL ? BHO ? BOM ? COK|5|19:15|800|2 STOPS|NO INFO|13748|6|3|0
AIR INDIA|2019-04-21|KOLKATA|BANGLORE|CCU ? BLR|20|23:20|155|NON-STOP|NO INFO|4880|4|21|6
INDIGO|2019-06-21|CHENNAI|KOLKATA|MAA ? CCU|5|07:40|145|NON-STOP|NO INFO|3540|6|21|4
SPICEJET|2019-05-15|BANGLORE|NEW DELHI|BLR ? DEL|5|08:35|160|NON-STOP|NO CHECK-IN BAGGAGE INCLUDED|3257|5|15|2
JET AIRWAYS|2019-03-06|BANGLORE|NEW DELHI|BLR ? DEL|19|22:50|180|NON-STOP|IN-FLIGHT MEAL NOT INCLUDED|6478|3|6|2
JET AIRWAYS|2019-06-18|MUMBAI|HYDERABAD|BOM ? HYD|7|08:30|85|NON-STOP|NO INFO|8040|6|18|1
JET AIRWAYS|2019-12-06|NEW DELHI|COCHIN|DEL ? ATQ ? BOM ? COK|20|12:35|995|2 STOPS|NO INFO|14300|12|6|4
JET AIRWAYS|2019-05-15|KOLKATA|BANGLORE|CCU ? BOM ? BLR|8|20:45|740|1 STOP|NO INFO|14781|5|15|2
JET AIRWAYS|2019-09-06|KOLKATA|BANGLORE|CCU ? BOM ? BLR|20|08:15|735|1 STOP|NO INFO|14939|9|6|4
JET AIRWAYS|2019-06-24|NEW DELHI|COCHIN|DEL ? BOM ? COK|20|04:25|450|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10262|6|24|0
AIR INDIA|2019-12-05|KOLKATA|BANGLORE|CCU ? MAA ? BLR|14|14:35|1440|1 STOP|NO INFO|6528|12|5|3
AIR INDIA|2019-01-05|BANGLORE|NEW DELHI|BLR ? DEL|6|08:55|165|NON-STOP|NO INFO|6121|1|5|5
JET AIRWAYS|2019-05-18|NEW DELHI|COCHIN|DEL ? JAI ? BOM ? COK|19|04:25|535|2 STOPS|IN-FLIGHT MEAL NOT INCLUDED|13029|5|18|5
MULTIPLE CARRIERS|2019-03-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|11|18:50|430|1 STOP|NO INFO|11421|3|27|2
MULTIPLE CARRIERS|2019-03-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|4|19:15|870|1 STOP|NO INFO|7574|3|27|2
AIR INDIA|2019-09-05|NEW DELHI|COCHIN|DEL ? JDH ? BOM ? COK|12|19:15|1820|2 STOPS|NO INFO|11596|9|5|3
JET AIRWAYS|2019-05-24|NEW DELHI|COCHIN|DEL ? AMD ? BOM ? COK|23|19:00|1195|2 STOPS|NO INFO|15129|5|24|4
JET AIRWAYS|2019-03-18|BANGLORE|NEW DELHI|BLR ? BOM ? DEL|14|05:05|900|1 STOP|NO INFO|13555|3|18|0
INDIGO|2019-12-04|BANGLORE|NEW DELHI|BLR ? DEL|18|21:50|175|NON-STOP|NO INFO|5780|12|4|2
VISTARA|2019-12-05|KOLKATA|BANGLORE|CCU ? DEL ? BLR|20|09:05|765|1 STOP|NO INFO|9397|12|5|3
JET AIRWAYS|2019-06-03|NEW DELHI|COCHIN|DEL ? BOM ? COK|18|04:25|610|1 STOP|NO INFO|17024|6|3|0
GOAIR|2019-06-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|7|12:55|355|1 STOP|NO INFO|5281|6|27|3
MULTIPLE CARRIERS|2019-05-18|NEW DELHI|COCHIN|DEL ? HYD ? COK|7|22:30|925|1 STOP|NO INFO|10348|5|18|5
AIR INDIA|2019-06-03|NEW DELHI|COCHIN|DEL ? MAA ? COK|17|09:25|965|1 STOP|NO INFO|12677|6|3|0
MULTIPLE CARRIERS|2019-03-03|NEW DELHI|COCHIN|DEL ? BOM ? COK|15|01:35|610|1 STOP|NO INFO|15147|3|3|6
VISTARA|2019-12-06|BANGLORE|NEW DELHI|BLR ? DEL|7|09:40|160|NON-STOP|NO INFO|4668|12|6|4
JET AIRWAYS|2019-09-05|NEW DELHI|COCHIN|DEL ? BOM ? COK|7|19:00|715|1 STOP|NO INFO|15554|9|5|3
SPICEJET|2019-09-04|BANGLORE|NEW DELHI|BLR ? DEL|5|08:35|160|NON-STOP|NO INFO|3971|9|4|2
AIR INDIA|2019-03-05|MUMBAI|HYDERABAD|BOM ? HYD|15|16:25|85|NON-STOP|NO INFO|3100|3|5|1
JET AIRWAYS|2019-06-05|KOLKATA|BANGLORE|CCU ? BOM ? BLR|20|10:05|845|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|9663|6|5|2
AIR INDIA|2019-01-03|NEW DELHI|COCHIN|DEL ? BOM ? COK|23|19:15|1215|1 STOP|NO INFO|27430|1|3|3
INDIGO|2019-12-05|CHENNAI|KOLKATA|MAA ? CCU|5|07:40|145|NON-STOP|NO INFO|3540|12|5|3
AIR INDIA|2019-05-21|KOLKATA|BANGLORE|CCU ? BBI ? BOM ? BLR|12|11:10|1390|2 STOPS|NO INFO|10676|5|21|1
JET AIRWAYS|2019-12-06|KOLKATA|BANGLORE|CCU ? BOM ? BLR|14|08:15|1090|1 STOP|NO INFO|13044|12|6|4
JET AIRWAYS|2019-06-05|KOLKATA|BANGLORE|CCU ? BOM ? BLR|20|12:00|960|1 STOP|NO INFO|14388|6|5|2
INDIGO|2019-06-24|BANGLORE|NEW DELHI|BLR ? DEL|4|06:50|170|NON-STOP|NO INFO|3943|6|24|0
INDIGO|2019-03-06|CHENNAI|KOLKATA|MAA ? CCU|14|17:05|140|NON-STOP|NO INFO|3597|3|6|2
AIR INDIA|2019-03-21|BANGLORE|NEW DELHI|BLR ? MAA ? DEL|11|19:50|480|1 STOP|NO INFO|5932|3|21|3
JET AIRWAYS|2019-06-15|NEW DELHI|COCHIN|DEL ? BOM ? COK|11|04:25|1015|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10262|6|15|5
VISTARA|2019-12-05|NEW DELHI|COCHIN|DEL ? COK|14|17:50|190|NON-STOP|NO INFO|6216|12|5|3
INDIGO|2019-06-15|KOLKATA|BANGLORE|CCU ? BLR|20|23:10|165|NON-STOP|NO INFO|4804|6|15|5
MULTIPLE CARRIERS|2019-05-21|NEW DELHI|COCHIN|DEL ? BOM ? COK|11|01:30|840|1 STOP|NO INFO|14067|5|21|1
JET AIRWAYS|2019-05-18|NEW DELHI|COCHIN|DEL ? AMD ? BOM ? COK|19|19:00|1430|2 STOPS|NO INFO|15129|5|18|5
JET AIRWAYS|2019-06-06|NEW DELHI|COCHIN|DEL ? NAG ? BOM ? COK|6|04:25|1300|2 STOPS|NO INFO|13376|6|6|3
AIR INDIA|2019-06-27|NEW DELHI|COCHIN|DEL ? GOI ? BOM ? COK|22|19:15|1275|2 STOPS|NO INFO|10441|6|27|3
JET AIRWAYS|2019-05-24|BANGLORE|NEW DELHI|BLR ? DEL|6|08:45|165|NON-STOP|IN-FLIGHT MEAL NOT INCLUDED|4030|5|24|4
JET AIRWAYS|2019-03-03|NEW DELHI|COCHIN|DEL ? BOM ? COK|8|18:50|650|1 STOP|NO INFO|17024|3|3|6
MULTIPLE CARRIERS|2019-09-04|NEW DELHI|COCHIN|DEL ? BOM ? COK|17|01:30|480|1 STOP|NO INFO|13017|9|4|2
GOAIR|2019-06-06|KOLKATA|BANGLORE|CCU ? BOM ? BLR|23|07:45|495|1 STOP|NO INFO|6686|6|6|3
INDIGO|2019-06-15|NEW DELHI|COCHIN|DEL ? MAA ? COK|2|07:25|325|1 STOP|NO INFO|5636|6|15|5
INDIGO|2019-09-06|NEW DELHI|COCHIN|DEL ? HYD ? COK|7|16:10|515|1 STOP|NO INFO|6442|9|6|4
MULTIPLE CARRIERS|2019-05-21|NEW DELHI|COCHIN|DEL ? HYD ? COK|13|00:55|710|1 STOP|NO INFO|9486|5|21|1
JET AIRWAYS|2019-05-21|KOLKATA|BANGLORE|CCU ? BOM ? BLR|20|23:35|1655|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10844|5|21|1
JET AIRWAYS|2019-03-06|NEW DELHI|COCHIN|DEL ? ATQ ? BOM ? COK|20|04:25|505|2 STOPS|IN-FLIGHT MEAL NOT INCLUDED|15318|3|6|2
AIR INDIA|2019-03-04|NEW DELHI|COCHIN|DEL ? MAA ? COK|12|09:25|1255|1 STOP|NO INFO|5117|3|4|0
INDIGO|2019-06-24|NEW DELHI|COCHIN|DEL ? BLR ? COK|15|20:00|290|1 STOP|NO INFO|6147|6|24|0
MULTIPLE CARRIERS|2019-09-06|NEW DELHI|COCHIN|DEL ? BOM ? COK|12|21:00|490|1 STOP|NO INFO|7005|9|6|4
SPICEJET|2019-03-04|KOLKATA|BANGLORE|CCU ? BLR|22|00:40|140|NON-STOP|NO INFO|3873|3|4|0
JET AIRWAYS|2019-03-21|NEW DELHI|COCHIN|DEL ? BDQ ? BOM ? COK|18|18:50|1465|2 STOPS|IN-FLIGHT MEAL NOT INCLUDED|9270|3|21|3
GOAIR|2019-06-27|BANGLORE|NEW DELHI|BLR ? DEL|11|14:30|170|NON-STOP|NO INFO|3898|6|27|3
JET AIRWAYS|2019-12-05|KOLKATA|BANGLORE|CCU ? BOM ? BLR|8|20:45|740|1 STOP|NO INFO|14781|12|5|3
JET AIRWAYS|2019-05-24|KOLKATA|BANGLORE|CCU ? BOM ? BLR|20|08:15|735|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|8586|5|24|4
AIR INDIA|2019-09-05|KOLKATA|BANGLORE|CCU ? JAI ? BOM ? BLR|8|07:55|1415|2 STOPS|NO INFO|10697|9|5|3
JET AIRWAYS|2019-06-27|NEW DELHI|COCHIN|DEL ? ATQ ? BOM ? COK|20|12:35|995|2 STOPS|NO INFO|14300|6|27|3
INDIGO|2019-03-03|BANGLORE|NEW DELHI|BLR ? DEL|18|21:45|170|NON-STOP|NO INFO|8855|3|3|6
JET AIRWAYS|2019-12-05|KOLKATA|BANGLORE|CCU ? BOM ? BLR|16|18:15|1545|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10844|12|5|3
JET AIRWAYS|2019-06-03|NEW DELHI|COCHIN|DEL ? BOM ? COK|2|04:25|1570|1 STOP|NO INFO|17024|6|3|0
JET AIRWAYS|2019-01-05|KOLKATA|BANGLORE|CCU ? DEL ? BLR|9|14:25|1730|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|9314|1|5|5
INDIGO|2019-03-24|BANGLORE|NEW DELHI|BLR ? DEL|0|03:25|165|NON-STOP|NO INFO|4777|3|24|6
AIR INDIA|2019-09-06|KOLKATA|BANGLORE|CCU ? BBI ? BLR|12|13:15|1515|1 STOP|NO INFO|7662|9|6|4
INDIGO|2019-09-05|NEW DELHI|COCHIN|DEL ? HYD ? COK|6|16:10|560|1 STOP|NO INFO|6442|9|5|3
SPICEJET|2019-12-06|NEW DELHI|COCHIN|DEL ? PNQ ? COK|8|13:15|270|1 STOP|NO INFO|5264|12|6|4
JET AIRWAYS|2019-05-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|13|04:25|925|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|12898|5|27|0
AIR INDIA|2019-03-03|MUMBAI|HYDERABAD|BOM ? HYD|13|15:25|90|NON-STOP|NO INFO|6092|3|3|6
SPICEJET|2019-05-21|BANGLORE|NEW DELHI|BLR ? DEL|5|08:35|160|NON-STOP|NO INFO|3311|5|21|1
JET AIRWAYS|2019-03-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|19|04:25|550|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|6540|3|27|2
INDIGO|2019-05-27|BANGLORE|NEW DELHI|BLR ? DEL|1|04:15|165|NON-STOP|NO INFO|3419|5|27|0
JET AIRWAYS|2019-03-04|NEW DELHI|COCHIN|DEL ? BOM ? COK|14|12:35|1355|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|5177|3|4|0
AIR INDIA|2019-04-18|NEW DELHI|COCHIN|DEL ? COK|18|21:10|185|NON-STOP|NO INFO|8246|4|18|3
JET AIRWAYS|2019-09-06|KOLKATA|BANGLORE|CCU ? DEL ? BLR|9|21:05|690|1 STOP|NO INFO|14676|9|6|4
MULTIPLE CARRIERS|2019-06-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|11|21:00|570|1 STOP|NO INFO|13587|6|27|3
JET AIRWAYS|2019-06-05|KOLKATA|BANGLORE|CCU ? BOM ? BLR|21|09:20|730|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|9663|6|5|2
JET AIRWAYS|2019-12-06|KOLKATA|BANGLORE|CCU ? BOM ? BLR|16|10:05|1055|1 STOP|NO INFO|13044|12|6|4
INDIGO|2019-03-04|NEW DELHI|COCHIN|DEL ? BOM ? COK|20|01:30|305|1 STOP|NO INFO|5073|3|4|0
VISTARA|2019-05-21|KOLKATA|BANGLORE|CCU ? DEL ? BLR|17|18:50|1550|1 STOP|NO INFO|9345|5|21|1
JET AIRWAYS|2019-06-05|KOLKATA|BANGLORE|CCU ? BOM ? BLR|14|10:05|1200|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|9663|6|5|2
MULTIPLE CARRIERS|2019-05-21|NEW DELHI|COCHIN|DEL ? BOM ? COK|8|21:00|780|1 STOP|NO INFO|14277|5|21|1
JET AIRWAYS|2019-01-06|NEW DELHI|COCHIN|DEL ? BOM ? COK|10|04:25|1105|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10262|1|6|6
JET AIRWAYS|2019-03-27|MUMBAI|HYDERABAD|BOM ? HYD|19|21:05|90|NON-STOP|NO INFO|5678|3|27|2
